learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.0,0.0,1000.0,81.89999999999999,74.80582389131705,-28.368794326241158,64.2292490118577,1000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
2000.0,0.0,0.0,2000.0,89.9,88.80583781099821,27.85714285714288,85.61253561253561,2000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
3000.0,0.0,0.0,3000.0,86.6,83.90821437620913,27.956989247311842,77.24957555178268,3000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
4000.0,0.0,0.0,4000.0,89.0,87.33058983014928,34.91124260355032,81.9376026272578,4000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
5000.0,0.0,0.0,5000.0,84.39999999999999,82.68359825947962,2.5000000000000018,75.85139318885449,5000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
6000.0,0.0,0.0,6000.0,78.9,74.77772119699438,-38.81578947368416,63.745704467353946,6000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
7000.0,0.0,0.0,7000.0,86.0,83.24978164893936,26.701570680628244,75.82037996545769,7000.0,18720.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0
8000.0,0.0,0.0,8000.0,79.9,72.78451018888362,-17.543859649122755,57.684210526315795,8000.0,19040.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0
9000.0,0.0,0.0,9000.0,89.2,84.18328642017977,37.20930232558142,77.21518987341773,9000.0,19096.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0,4.0
10000.0,0.0,0.0,10000.0,84.3,78.06864374816656,-9.790209790209797,68.9108910891089,10000.0,22968.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
11000.0,0.0,0.0,11000.0,90.10000000000001,87.45759018499422,44.692737430167625,80.92485549132948,11000.0,23864.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
12000.0,0.0,0.0,12000.0,82.1,77.97646804065617,-29.71014492753626,67.51361161524501,12000.0,28632.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0,6.0
13000.0,0.0,0.0,13000.0,78.9,69.63338428016729,-47.55244755244751,58.051689860835,13000.0,28632.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0,6.0
14000.0,0.0,0.0,14000.0,86.2,80.392714046205,-40.81632653061229,72.28915662650603,14000.0,28632.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0,6.0
15000.0,0.0,0.0,15000.0,81.39999999999999,77.95315163253356,-28.27586206896554,67.595818815331,15000.0,37216.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0,7.0
