learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
26000.0,1.609375,3.947490606353515E-7,26000.0,82.6,78.15936134960083,-24.285714285714306,68.81720430107525,26000.0,754088.0,20.0,140.0,19502.95,19523.10257233722,16625.2,19387.549128785016,9.599999999999998,14.054031075591237,5.299999999999999,7.027015537795618,5.299999999999999,7.027015537795618,2.6500000000000004,3.801315561749643,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.703125,4.134393465291295E-7,27000.0,85.3,82.77942434075653,-37.383177570093494,75.08474576271186,27000.0,770632.0,20.0,144.0,20802.699999999997,19779.105421471522,17300.399999999994,20463.668566510747,9.0,13.85640646055102,5.0,6.92820323027551,5.0,6.92820323027551,2.4499999999999997,3.4713109915419564,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.8125,4.347869738315543E-7,28000.0,83.5,80.53992852846477,-81.31868131868141,72.03389830508473,28000.0,754456.0,20.0,152.0,17110.0,15980.148266883476,16554.4,14209.879937268255,8.600000000000001,10.189778159870235,4.800000000000001,5.094889079935117,4.800000000000001,5.094889079935117,2.4999999999999996,2.417044737516849,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.84375,4.415170082615482E-7,29000.0,81.69999999999999,79.618929670829,-57.758620689655224,70.43618739903069,29000.0,832472.0,20.0,157.0,20556.949999999997,18110.586033341184,20566.0,15357.488363730095,11.100000000000001,11.172805330236825,6.050000000000001,5.586402665118412,6.050000000000001,5.586402665118412,3.1999999999999997,2.4192212753171978,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.875,4.487915430217982E-7,30000.0,86.9,84.6010617038984,-21.29629629629632,78.31125827814569,30000.0,899824.0,20.0,162.0,23341.45,19605.782797497053,23740.4,17478.95012624584,12.7,12.230677564395627,6.85,6.115338782197814,6.85,6.115338782197814,3.4999999999999996,2.5649458802128855,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.921875,4.5948894694447523E-7,31000.0,82.39999999999999,80.04831481945425,-18.12080536912753,71.65861513687601,31000.0,882144.0,20.0,170.0,22269.850000000002,22472.216741837135,22971.600000000002,20055.42693951729,11.8,13.367675072431453,6.4,6.6838375362157265,6.4,6.6838375362157265,3.4,3.0157481397002077,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.9375,4.631549301039842E-7,32000.0,81.2,76.89125985655373,-30.555555555555504,67.64199655765923,32000.0,906928.0,20.0,182.0,19856.7,23942.798726394365,24220.8,19133.253525843702,12.299999999999999,14.23524166507748,6.650000000000001,7.117620832538742,6.650000000000001,7.117620832538742,3.7500000000000004,2.9177316351468723,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.015625,4.833518566253285E-7,33000.0,84.39999999999999,79.99435738285156,-33.333333333333364,71.37614678899082,33000.0,999304.0,20.0,189.0,20731.649999999998,25248.8565812499,28695.199999999997,19913.215991290544,15.399999999999999,14.848001814881922,8.200000000000001,7.424000907440961,8.200000000000001,7.424000907440961,4.45,3.03445130737702,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.0625,4.92749095428735E-7,34000.0,84.6,82.13011365943942,-8.45070422535212,74.95934959349593,34000.0,774928.0,20.0,200.0,11484.45,13537.13918107865,17720.400000000005,17494.688271767398,9.8,10.670174861685604,5.4,5.335087430842802,5.4,5.335087430842802,2.9499999999999997,2.6650762801367183,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.09375,5.00346294655982E-7,35000.0,85.0,82.22346526287346,-22.950819672131168,74.09326424870467,35000.0,939736.0,20.0,211.0,12266.6,11719.947944917629,25746.4,15364.818125903908,12.1,9.656740214945588,6.55,4.828370107472795,6.55,4.828370107472795,3.8,2.5669970167903444,0.0,0.0,0.0,0.0,1.0,0.0
