learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.015625,2.2183586325910357E-11,1000.0,83.39999999999999,76.9571180295282,-17.730496453900724,67.19367588932805,1000.0,5488.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
2000.0,0.03125,7.987384580903583E-11,2000.0,88.0,86.53095859167702,14.285714285714295,82.90598290598292,2000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
3000.0,0.046875,1.375641052921613E-10,3000.0,80.7,78.04737671838994,-3.7634408602149962,67.23259762309,3000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
4000.0,0.046875,1.375641052921613E-10,4000.0,88.7,86.95568858957517,33.13609467455623,81.44499178981938,4000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
5000.0,0.046875,1.375641052921613E-10,5000.0,83.8,82.37766619383696,-1.2500000000000009,74.92260061919505,5000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
6000.0,0.046875,1.375641052921613E-10,6000.0,80.60000000000001,77.18602561750608,-27.631578947368368,66.66666666666667,6000.0,18720.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0
7000.0,0.046875,1.375641052921613E-10,7000.0,88.3,85.8591474395388,38.743455497382186,79.79274611398964,7000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
8000.0,0.046875,1.375641052921613E-10,8000.0,82.69999999999999,75.27511790767471,-1.1695906432748546,63.57894736842105,8000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
9000.0,0.0625,2.175673014587826E-10,9000.0,89.7,84.93874602631479,40.11627906976747,78.27004219409282,9000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
10000.0,0.09375,3.7757369379202523E-10,10000.0,83.2,76.67719432200741,-17.482517482517494,66.73267326732673,10000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
11000.0,0.125,5.375800861252678E-10,11000.0,88.4,85.34848502072052,35.195530726257005,77.64932562620425,11000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
12000.0,0.140625,6.175832822918892E-10,12000.0,80.2,75.95753955774016,-43.47826086956517,64.06533575317606,12000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
