learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
11000.0,7.40625,6.3846003225383665E-6,11000.0,72.39999999999999,72.37546941684215,41.40127388535031,71.33956386292834,11000.0,4451816.0,30.0,101.0,12609.500000000002,9693.684690524566,132001.86666666664,83439.00492502388,5.4,4.047988005979232,3.2,2.023994002989616,3.2,2.023994002989616,1.7000000000000002,1.4890404223224918,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,7.984375,7.136092269017052E-6,12000.0,68.7,68.31727265365618,33.826638477801275,63.133097762073035,12000.0,5024640.0,30.0,111.0,14776.699999999999,11155.262485203702,151214.93333333338,95924.48992933086,6.133333333333335,4.775897340008352,3.5666666666666673,2.387948670004176,3.5666666666666673,2.387948670004176,1.9333333333333327,1.638614497453372,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,8.78125,8.211757813114674E-6,13000.0,70.39999999999999,69.86249764550763,41.50197628458498,65.38011695906432,13000.0,5217824.0,30.0,115.0,17439.300000000003,11170.399020903726,157447.2,105807.62404913995,6.133333333333335,5.270171974772565,3.5666666666666673,2.635085987386282,3.5666666666666673,2.635085987386282,1.9333333333333331,1.720732268608305,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,9.59375,9.122930059675129E-6,14000.0,58.9,58.06648757349843,35.57993730407523,52.04200700116686,14000.0,4334904.0,30.0,133.0,14740.133333333333,14203.267365070551,128211.99999999999,90232.0503162588,4.733333333333335,4.322621597047834,2.8666666666666676,2.161310798523917,2.8666666666666676,2.161310798523917,1.4999999999999998,1.5480800121886245,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,10.28125,9.98297981115886E-6,15000.0,70.89999999999999,70.61808048222696,48.94736842105262,67.63070077864293,15000.0,4835632.0,30.0,140.0,18163.666666666664,15684.883386578771,144875.73333333334,89284.85730782215,5.6000000000000005,4.20672696096834,3.3000000000000003,2.10336348048417,3.3000000000000003,2.10336348048417,1.8333333333333333,1.366680683976335,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,10.875,1.0677197812280309E-5,16000.0,86.4,86.38522797235,-54.54545454545462,85.96491228070175,16000.0,4519544.0,30.0,146.0,21037.733333333337,16916.900912346828,134326.66666666663,92467.20503502041,5.4,4.214916042032073,3.2000000000000006,2.107458021016036,3.2000000000000006,2.107458021016036,1.7333333333333336,1.3879613761229797,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,11.390625,1.112170022679493E-5,17000.0,79.4,79.19610098576145,-320.40816326530563,77.58433079434168,17000.0,3332288.0,30.0,157.0,16115.366666666667,15844.62920314191,94838.93333333333,81024.91917366441,3.6666666666666665,4.045715770040454,2.333333333333333,2.022857885020227,2.333333333333333,2.022857885020227,1.1000000000000005,1.493664782593009,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,11.9375,1.1638548360982291E-5,18000.0,89.4,89.33352653738096,-253.33333333333297,88.52813852813853,18000.0,3653232.0,30.0,165.0,16667.36666666667,17142.010423041927,105431.46666666665,74747.5683893432,4.666666666666666,4.037183495298752,2.833333333333333,2.018591747649376,2.833333333333333,2.018591747649376,1.4999999999999996,1.4323840748664567,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,12.453125,1.2139786364665878E-5,19000.0,92.4,92.39347360034911,-245.45454545454498,92.09157127991676,19000.0,3757616.0,30.0,172.0,15217.033333333335,15222.837291574366,108857.3333333333,56575.628298175645,4.8,3.1227750700188186,2.9,1.5613875350094093,2.9,1.5613875350094093,1.6666666666666667,1.2410599844719317,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,12.78125,1.2428605793199194E-5,20000.0,89.7,89.6984238588504,-390.4761904761899,89.60645812310797,20000.0,3402432.0,30.0,181.0,17734.666666666664,15267.029156465504,97159.19999999998,56872.86168312252,4.266666666666666,3.258234484198918,2.633333333333333,1.629117242099459,2.633333333333333,1.629117242099459,1.4666666666666663,1.3321834121764766,0.0,0.0,0.0,0.0,1.0,0.0
