learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0,0.0,1000.0,61.1,60.365897146955916,5.582524271844664,52.034525277435264,1000.0,38584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.0,0.0,2000.0,57.9,55.140083347807135,18.882466281310208,37.25782414307003,2000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.03125,4.204533373316129E-10,3000.0,47.4,47.014263840760734,-35.21850899742931,28.918918918918912,3000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.03125,4.204533373316129E-10,4000.0,64.3,64.17425162319742,-27.95698924731181,60.769230769230774,4000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.109375,1.4715866806606451E-9,5000.0,57.4,57.31783683590912,-24.561403508771953,53.84615384615383,5000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.125,1.6818133493264517E-9,6000.0,59.0,58.973291612839965,11.062906724511917,57.68833849329204,6000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.15625,2.1022666866580646E-9,7000.0,50.9,49.3153442375882,-0.8213552361396311,39.75460122699387,7000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.171875,2.4496370719538794E-9,8000.0,63.0,61.9980013002846,19.03719912472647,54.48954489544896,8000.0,85936.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.171875,2.4496370719538794E-9,9000.0,66.9,65.2900119125518,35.85271317829458,57.4002574002574,9000.0,92416.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.21875,3.570328570074505E-9,10000.0,75.2,75.19970239642876,38.91625615763547,74.89878542510121,10000.0,92416.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.234375,3.94389240278138E-9,11000.0,61.8,61.77029551961874,18.895966029723983,60.33229491173417,11000.0,92416.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
