learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
28000.0,0.734375,8.527134519277348E-8,28000.0,77.7,77.7,-384.78260869565173,77.7,28000.0,620176.0,46.0,18.0,16.0,8.0,0.0,0.0,1.0,28.0
29000.0,0.75,8.777821979795894E-8,29000.0,79.2,79.2,-511.7647058823523,79.2,29000.0,620176.0,46.0,18.0,16.0,8.0,0.0,0.0,1.0,28.0
30000.0,0.796875,9.606039384379983E-8,30000.0,84.89999999999999,84.89999999999999,-387.0967741935481,84.89999999999999,30000.0,682976.0,50.0,20.0,18.0,9.0,0.0,0.0,1.0,30.0
31000.0,0.796875,9.606039384379983E-8,31000.0,84.1,84.1,-287.8048780487802,84.1,31000.0,689024.0,50.0,20.0,18.0,9.0,0.0,0.0,1.0,30.0
32000.0,0.796875,9.606039384379983E-8,32000.0,81.2,81.2,-452.9411764705876,81.2,32000.0,689024.0,50.0,20.0,18.0,9.0,0.0,0.0,1.0,30.0
33000.0,0.859375,1.0720108144192233E-7,33000.0,78.8,78.8,-488.8888888888883,78.8,33000.0,689024.0,50.0,20.0,18.0,9.0,0.0,0.0,1.0,30.0
34000.0,0.875,1.0998625334145295E-7,34000.0,76.4,76.4,-475.6097560975604,76.4,34000.0,689024.0,50.0,20.0,18.0,9.0,0.0,0.0,1.0,30.0
35000.0,0.90625,1.1554993559709854E-7,35000.0,78.2,78.2,-581.2499999999993,78.09045226130652,35000.0,688200.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
36000.0,0.9375,1.2113108015101817E-7,36000.0,74.0,74.0,-738.7096774193541,73.86934673366834,36000.0,690360.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
37000.0,0.9375,1.2113108015101817E-7,37000.0,83.39999999999999,83.39983399833997,-591.6666666666662,83.23232323232322,37000.0,690360.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
38000.0,0.984375,1.295027969818976E-7,38000.0,80.30000000000001,80.30000000000001,-936.8421052631568,80.30000000000001,38000.0,690360.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
39000.0,1.0,1.3229336925885742E-7,39000.0,85.9,85.9,-1309.9999999999989,85.9,39000.0,690360.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
40000.0,1.015625,1.3508394153581723E-7,40000.0,92.9,92.9,-1674.9999999999973,92.9,40000.0,690360.0,52.0,21.0,19.0,9.0,0.0,0.0,1.0,31.0
41000.0,1.046875,1.4034559070650073E-7,41000.0,92.30000000000001,92.30000000000001,-1183.3333333333314,92.30000000000001,41000.0,650840.0,54.0,22.0,20.0,9.0,0.0,0.0,1.0,32.0
42000.0,1.078125,1.4617017263339624E-7,42000.0,92.0,92.0,-515.3846153846146,92.0,42000.0,720472.0,54.0,22.0,20.0,9.0,0.0,0.0,1.0,32.0
43000.0,1.109375,1.5199475456029174E-7,43000.0,91.3,91.3,-479.99999999999926,91.3,43000.0,720472.0,54.0,22.0,20.0,9.0,0.0,0.0,1.0,32.0
44000.0,1.109375,1.5199475456029174E-7,44000.0,92.4,92.4,-406.66666666666595,92.4,44000.0,720472.0,54.0,22.0,20.0,9.0,0.0,0.0,1.0,32.0
45000.0,1.15625,1.6115955077111717E-7,45000.0,86.1,86.1,-561.9047619047615,86.1,45000.0,755760.0,56.0,23.0,21.0,9.0,0.0,0.0,1.0,33.0
46000.0,1.203125,1.7118019362290696E-7,46000.0,92.2,92.2,-457.1428571428563,92.2,46000.0,826336.0,60.0,25.0,23.0,9.0,0.0,0.0,1.0,35.0
47000.0,1.21875,1.745291390559739E-7,47000.0,96.6,96.6,-240.0,96.6,47000.0,828496.0,60.0,25.0,23.0,9.0,0.0,0.0,1.0,35.0
48000.0,1.21875,1.745291390559739E-7,48000.0,98.3,98.3,-183.33333333333331,98.3,48000.0,830656.0,60.0,25.0,23.0,9.0,0.0,0.0,1.0,35.0
49000.0,1.265625,1.8460216880258582E-7,49000.0,98.1,98.1,-137.5,98.1,49000.0,830656.0,60.0,25.0,23.0,9.0,0.0,0.0,1.0,35.0
50000.0,1.296875,1.9127949296186363E-7,50000.0,99.0,99.0,0.0,99.0,50000.0,825952.0,62.0,26.0,24.0,9.0,0.0,0.0,1.0,36.0
51000.0,1.328125,1.9795681712114144E-7,51000.0,98.7,98.7,-8.333333333333332,98.7,51000.0,825952.0,62.0,26.0,24.0,9.0,0.0,0.0,1.0,36.0
52000.0,1.359375,2.0463414128041924E-7,52000.0,98.0,98.0,-66.66666666666666,98.0,52000.0,825952.0,62.0,26.0,24.0,9.0,0.0,0.0,1.0,36.0
53000.0,1.375,2.0797280336005815E-7,53000.0,95.5,95.5,-181.25,95.5,53000.0,825952.0,62.0,26.0,24.0,9.0,0.0,0.0,1.0,36.0
54000.0,1.40625,2.1465394335488472E-7,54000.0,92.60000000000001,92.60000000000001,-311.1111111111105,92.60000000000001,54000.0,826424.0,64.0,27.0,25.0,9.0,0.0,0.0,1.0,37.0
55000.0,1.4375,2.155414808334575E-7,55000.0,90.8,90.8,-283.33333333333286,90.8,55000.0,109784.0,43.0,4.0,1.0,3.0,0.0,0.0,1.0,39.0
56000.0,1.46875,2.1642901831203029E-7,56000.0,91.60000000000001,91.60000000000001,-199.9999999999996,91.60000000000001,56000.0,109784.0,43.0,4.0,1.0,3.0,0.0,0.0,1.0,39.0
57000.0,1.484375,2.1672316102517967E-7,57000.0,85.8,85.8,-317.6470588235291,85.8,57000.0,72768.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
58000.0,1.5,2.1701730373832906E-7,58000.0,85.3,85.3,-297.297297297297,85.3,58000.0,72768.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
59000.0,1.515625,2.1731144645147844E-7,59000.0,84.0,84.0,-299.9999999999997,84.0,59000.0,72768.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
60000.0,1.515625,2.1731144645147844E-7,60000.0,79.80000000000001,79.80000000000001,-512.1212121212114,79.80000000000001,60000.0,72768.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
61000.0,1.515625,2.1731144645147844E-7,61000.0,78.0,78.0,-528.571428571428,78.0,61000.0,72768.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
62000.0,1.515625,2.1731144645147844E-7,62000.0,83.0,83.0,-277.77777777777754,83.0,62000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
63000.0,1.5625,2.1822006803833768E-7,63000.0,70.1,70.1,-453.7037037037033,70.1,63000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
64000.0,1.578125,2.185229419006241E-7,64000.0,75.9,75.9,-381.99999999999955,75.9,64000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
