learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
11000.0,16.375,1.0222971808010093E-5,11000.0,79.3,79.27239082457834,56.05095541401275,78.50467289719627,11000.0,2410424.0,20.0,5948.4,5137.310794070357,234117.39999999997,189363.06914534204,2.5499999999999994,2.327750212679956,25.650000000000002,12.088598368972136,1.4000000000000004,0.8207826816681233,1.2,0.4103913408340616,1.2,0.4103913408340616,0.19999999999999998,0.41039134083406165,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,18.03125,1.1389062953336787E-5,12000.0,75.9,75.41365756019827,49.04862579281184,71.61366313309776,12000.0,2721504.0,20.0,6532.0,5571.9125934204985,247640.6,192021.45403544675,4.45,4.718106221333882,29.549999999999997,17.0370339647425,1.5000000000000002,0.8885233166386385,1.2500000000000004,0.4442616583193193,1.2500000000000004,0.4442616583193193,0.25,0.4442616583193193,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,19.296875,1.2317667812264215E-5,13000.0,76.2,75.69965591529595,52.96442687747036,72.16374269005848,13000.0,2836144.0,20.0,7225.4,5813.830926422408,254128.79999999996,192895.22864766742,1.35,1.6630662866176473,17.95,13.449613573004909,1.7,1.4903196407411894,1.3500000000000003,0.7451598203705947,1.3500000000000003,0.7451598203705947,0.35000000000000003,0.7451598203705947,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,20.859375,1.3354233071570183E-5,14000.0,69.1,68.40881649611858,51.56739811912225,63.94399066511085,14000.0,2564360.0,20.0,7462.499999999998,6742.65697078244,240148.79999999996,190941.99173721415,2.05,1.7312909694943341,21.650000000000002,14.477841508209783,1.1000000000000003,0.44721359549995787,1.0500000000000003,0.22360679774997894,1.0500000000000003,0.22360679774997894,0.05000000000000001,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,22.046875,1.4101368109954315E-5,15000.0,74.1,73.85974491551853,54.561403508771924,71.19021134593993,15000.0,2432024.0,20.0,7950.299999999997,7175.38503282094,237184.80000000002,188121.56437018904,1.9500000000000002,2.1878853044122666,19.25,11.831603530598175,1.5000000000000002,0.8885233166386386,1.2500000000000002,0.4442616583193192,1.2500000000000002,0.4442616583193192,0.25000000000000006,0.4442616583193193,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,23.15625,1.4740689819316483E-5,16000.0,88.6,88.59363524846864,-29.54545454545458,88.23529411764706,16000.0,2227632.0,20.0,8340.025000000001,7512.250236430067,229309.2,185674.98955932757,4.6000000000000005,5.509799881741814,15.95,9.14488640544108,1.3000000000000003,0.7326950970650464,1.1500000000000004,0.36634754853252327,1.1500000000000004,0.36634754853252327,0.15000000000000002,0.36634754853252327,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,24.421875,1.5466410711976802E-5,17000.0,87.7,87.62482078627663,-151.02040816326507,86.6158868335147,17000.0,2216496.0,20.0,8787.850000000004,7989.33402940028,227133.6,186548.19384026923,5.3999999999999995,4.717269504591334,18.05,6.700157107348893,1.2000000000000002,0.8944271909999157,1.1000000000000003,0.44721359549995787,1.1000000000000003,0.44721359549995787,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,25.546875,1.6037025068524397E-5,18000.0,94.1,94.07523448012692,-96.66666666666667,93.61471861471861,18000.0,1960616.0,20.0,9095.349999999999,8344.392367148313,219837.59999999998,181540.06462610746,6.75,7.099851740483184,13.6,4.453266098872649,1.2000000000000002,0.8944271909999157,1.1000000000000003,0.44721359549995787,1.1000000000000003,0.44721359549995787,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,26.515625,1.6440904291812332E-5,19000.0,95.7,95.69462689436416,-95.45454545454545,95.525494276795,19000.0,1611544.0,20.0,9279.974999999999,8778.257926839937,209477.59999999998,174336.3378719569,9.749999999999998,5.169495547007108,11.049999999999997,4.957450533235172,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,27.5,1.6853194392751905E-5,20000.0,96.1,96.09975428451992,-85.71428571428571,96.06458123107971,20000.0,1618992.0,20.0,9588.799999999997,9052.042849757516,209958.00000000006,174198.56984546434,11.6,6.435101111543584,8.75,4.115119746291205,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,28.640625,1.7340929415594376E-5,21000.0,95.1,95.1,-88.46153846153845,95.1,21000.0,1652888.0,20.0,10009.750000000004,9376.36295938643,210859.2,175008.71576057034,11.550000000000002,6.047835628509895,12.25,4.993416718672275,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,29.234375,1.758079917635769E-5,22000.0,97.89999999999999,97.89999999999999,-90.9090909090909,97.89999999999999,22000.0,1561616.0,20.0,10269.624999999998,9613.867483171087,207948.00000000003,173347.2878138284,7.85,3.5135077688978096,2.25,1.332784974957958,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,29.984375,1.7883792558374508E-5,23000.0,97.0,97.0,-87.5,97.0,23000.0,1561616.0,20.0,10627.3,9911.134958424416,207947.99999999997,173347.28781382838,8.550000000000002,4.084308870221303,6.6499999999999995,3.4984959174208745,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,31.046875,1.838099411947446E-5,24000.0,95.1,95.1,-81.48148148148148,95.1,24000.0,1808864.0,20.0,11145.925,10318.931467708098,215017.99999999997,178700.44269871846,11.549999999999997,6.345118305893868,12.85,5.193872908483003,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,32.015625,1.8841145728300847E-5,25000.0,96.2,96.2,-72.72727272727273,96.2,25000.0,1836080.0,20.0,11548.375000000002,10619.95071138183,216184.39999999997,178850.74895878392,10.55,5.689093906210743,8.45,3.4408536272574173,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,33.15625,1.9394771047195216E-5,26000.0,95.8,95.8,-44.827586206896555,95.8,26000.0,1876184.0,20.0,12078.724999999999,11065.606104542914,216591.6,180500.9918774935,8.999999999999998,4.622598950009787,17.25,6.950009466104874,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,34.28125,1.99389148878658E-5,27000.0,96.3,96.3,-32.142857142857146,96.3,27000.0,1869664.0,20.0,12664.974999999999,11562.759602047585,216504.4,180229.73561267677,8.3,4.193980649002868,17.55,7.742398649133566,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,35.65625,2.0594230186866807E-5,28000.0,93.5,93.5,-41.30434782608671,93.5,28000.0,1842256.0,20.0,13420.075,12209.08144214369,215819.19999999995,179576.61952595398,11.8,6.955497636288942,22.35,9.415971873141375,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,36.78125,2.1142408982591915E-5,29000.0,93.89999999999999,93.89999999999999,-79.41176470588235,93.89999999999999,29000.0,1883528.0,20.0,13955.325,12802.2951335508,216916.0,180534.5013907598,11.55,6.244787299904828,16.5,5.6054484772923345,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,38.0,2.1701355225458333E-5,30000.0,95.5,95.5,-45.16129032258064,95.5,30000.0,1772792.0,20.0,14573.25,13306.78658497042,214105.40000000005,177827.02470065447,9.2,5.727128425310541,18.25,6.980235254669166,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,39.265625,2.234309206768457E-5,31000.0,93.5,93.5,-58.53658536585339,93.5,31000.0,1959992.0,20.0,15264.774999999998,13890.66621962388,218979.2,182182.82640040753,11.65,8.79757741773567,19.3,8.040031421776776,1.3000000000000003,1.3416407864998738,1.1500000000000001,0.6708203932499369,1.1500000000000001,0.6708203932499369,0.10000000000000002,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
