learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
34000.0,9.53125,9.347895975224674E-6,34000.0,91.9,83.75405647170197,66.66666666666669,81.25000000000001,34000.0,5703976.0,45.0,378.0,35567.17777777778,42163.90078194254,113492.44444444447,120250.1878652011,51.48888888888888,57.14122147731173,26.24444444444444,28.570610738655866,26.24444444444444,28.570610738655866,7.977777777777779,5.16759522447728,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,9.953125,9.989898244384677E-6,35000.0,93.5,86.52380517983464,70.18348623853214,82.66666666666667,35000.0,5882408.0,45.0,391.0,36777.62222222222,43438.99640367611,117308.80000000002,123463.88638744087,55.22222222222223,60.43813098340877,28.111111111111107,30.219065491704388,28.111111111111107,30.219065491704388,8.444444444444448,5.04775177478033,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,10.3125,1.0582271012632798E-5,36000.0,94.19999999999999,85.64310237705668,74.99999999999997,80.13698630136984,36000.0,6371616.0,45.0,403.0,41229.15555555556,44661.181380150556,128163.73333333338,126221.07803345394,58.51111111111111,61.52036699789394,29.75555555555555,30.760183498946965,29.75555555555555,30.760183498946965,8.777777777777777,5.25222415609412,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,10.734375,1.1300284046834956E-5,37000.0,92.60000000000001,85.85086042065011,66.51583710407242,84.7107438016529,37000.0,6578864.0,45.0,415.0,42186.39999999998,47550.81967241135,132722.4888888889,134243.3996082933,63.35555555555556,66.15036437594812,32.177777777777784,33.07518218797406,32.177777777777784,33.07518218797406,9.288888888888891,5.272666318003644,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,11.09375,1.1933259665966034E-5,38000.0,93.60000000000001,87.25033567475609,76.72727272727275,84.83412322274883,38000.0,6808344.0,45.0,430.0,44136.86666666666,50154.86021794715,137894.22222222222,140353.79303759628,66.9111111111111,69.44972747581265,33.95555555555555,34.724863737906325,33.95555555555555,34.724863737906325,9.488888888888885,5.739109141441182,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,11.46875,1.2653054824719826E-5,39000.0,93.60000000000001,87.52845072179093,76.55677655677657,85.93406593406594,39000.0,7419592.0,45.0,442.0,47769.88888888887,52069.84575994677,151405.68888888886,147275.81940264054,73.57777777777777,72.86054203654119,37.288888888888884,36.430271018270595,37.288888888888884,36.430271018270595,9.68888888888889,6.476609039185911,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,11.9375,1.3571802604322632E-5,40000.0,90.8,82.47992809153094,72.61904761904762,81.18609406952966,40000.0,7576304.0,45.0,460.0,48172.57777777778,55198.93827432854,154862.39999999997,155509.81300904806,76.84444444444446,78.64706997823642,38.91111111111112,39.33470721791625,38.91111111111112,39.33470721791625,9.822222222222225,7.020388777401048,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,12.296875,1.432128968493392E-5,41000.0,82.39999999999999,48.664848546719355,0.0,33.33333333333332,41000.0,8061552.0,45.0,472.0,49208.11111111112,54729.58857760342,165518.75555555552,170698.49850076644,75.75555555555556,81.87272704840991,38.37777777777778,40.93636352420496,38.37777777777778,40.93636352420496,9.4,7.296948303602989,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,12.6875,1.5217192089443818E-5,42000.0,87.4,62.08861635485056,39.42307692307691,52.27272727272727,42000.0,8865496.0,45.0,480.0,53525.62222222222,56149.8236653464,183336.8888888889,182367.47192590695,78.68888888888888,83.47994375957022,39.84444444444444,41.73997187978511,39.84444444444444,41.73997187978511,9.466666666666672,7.238156470463258,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,12.96875,1.5883943382909314E-5,43000.0,91.5,70.26474868465242,51.70454545454549,59.90566037735851,43000.0,9163760.0,45.0,486.0,58605.8,56936.72356444956,189859.3777777778,191844.48004844596,80.64444444444445,85.61678774302585,40.82222222222222,42.808393871512926,40.82222222222222,42.808393871512926,9.355555555555554,7.367482472310198,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,13.359375,1.683875032338417E-5,44000.0,90.9,48.55850763143022,42.40506329113927,35.46099290780145,44000.0,9448392.0,45.0,489.0,63917.75555555555,57582.623252535435,196117.15555555554,197343.9489154492,82.24444444444444,86.94647139987273,41.62222222222222,43.47323569993637,41.62222222222222,43.47323569993637,9.37777777777778,7.352454410507138,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,13.8125,1.793690345948562E-5,45000.0,93.10000000000001,87.3412844743606,50.00000000000004,84.66666666666669,45000.0,9368008.0,45.0,494.0,65216.600000000006,61032.200420016736,194507.55555555556,207176.62322713435,83.8,90.68667337196092,42.4,45.34333668598046,42.4,45.34333668598046,9.266666666666667,6.952435805986534,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,14.21875,1.8956863043260656E-5,46000.0,90.8,28.11152091017067,51.32275132275132,17.857142857142875,46000.0,9704920.0,45.0,495.0,70816.71111111113,61431.86186100906,201773.6888888889,207101.70838589323,85.66666666666669,91.17515610575663,43.33333333333334,45.587578052878314,43.33333333333334,45.587578052878314,9.333333333333332,6.938037448469388,0.0,0.0,0.0,0.0,1.0,0.0
47000.0,14.65625,1.9664473268979538E-5,47000.0,83.0,60.67791278361055,22.374429223744265,70.27972027972027,47000.0,6251992.0,45.0,517.0,48497.68888888889,65115.225853804106,125596.44444444448,198418.18820996542,56.64444444444445,91.2432203099236,28.822222222222226,45.6216101549618,28.822222222222226,45.6216101549618,6.088888888888889,6.868314012458761,0.0,0.0,0.0,0.0,1.0,0.0
48000.0,14.984375,2.0193644159007816E-5,48000.0,84.39999999999999,52.42045676361505,25.71428571428569,36.58536585365852,48000.0,6233888.0,45.0,527.0,49690.33333333334,65702.02941102559,125140.44444444442,198036.51218577614,57.84444444444442,91.72140514414374,29.42222222222221,45.86070257207187,29.42222222222221,45.86070257207187,6.822222222222222,6.551505340165893,0.0,0.0,0.0,0.0,1.0,0.0
49000.0,15.328125,2.0791085585693102E-5,49000.0,88.1,55.34273512612863,45.662100456621005,41.37931034482757,49000.0,6718232.0,45.0,537.0,54070.57777777777,66862.18447179545,135824.88888888885,199947.85673158776,63.88888888888891,94.76915067252591,32.44444444444445,47.384575336262955,32.44444444444445,47.384575336262955,7.51111111111111,6.412424808073146,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,15.703125,2.14478519370055E-5,50000.0,89.9,79.842411566065,51.674641148325364,77.04545454545455,50000.0,6769896.0,45.0,549.0,51436.44444444445,70737.90643461625,137068.44444444444,203337.67321508634,68.82222222222218,97.44912166423727,34.91111111111109,48.724560832118634,34.91111111111109,48.724560832118634,7.755555555555555,6.20906798581923,0.0,0.0,0.0,0.0,1.0,0.0
51000.0,16.03125,2.201961123824326E-5,51000.0,89.4,57.49526834119272,37.64705882352944,38.372093023255836,51000.0,6735600.0,45.0,558.0,50747.55555555556,73240.96225304886,136294.2222222222,207235.80649466673,67.71111111111111,100.87990659965719,34.355555555555554,50.439953299828595,34.355555555555554,50.439953299828595,6.911111111111109,6.56721271379897,0.0,0.0,0.0,0.0,1.0,0.0
